year,month,title,start,end
2024,January,,"Jan 10, 8:11 pm","Jan 11, 5:27 pm"
2024,February,Mauni Amavasya,"Feb 09, 8:02 am","Feb 10, 4:29 am"
2024,March,,"Mar 09, 6:18 pm","Mar 10, 2:30 pm"
2024,April,Somvati Amavasya,"Apr 08, 3:21 am","Apr 08, 11:50 pm"
2024,May,,"May 07, 11:41 am","May 08, 8:51 am"
2024,June,,"Jun 05, 7:55 pm","Jun 06, 6:07 pm"
2024,July,,"Jul 05, 4:58 am","Jul 06, 4:27 am"
2024,August,Hariyali Amavasya,"Aug 03, 3:51 pm","Aug 04, 4:43 pm"
2024,September,Somvati Amavasya,"Sep 02, 5:22 am","Sep 03, 7:25 am"
2024,October,Mahalaya Amavasya,"Oct 01, 9:39 pm","Oct 03, 12:19 am"
2024,October,,"Oct 31, 3:53 pm","Nov 01, 6:17 pm"
2024,November,,"Nov 30, 10:30 am","Dec 01, 11:51 am"
2024,December,Somvati Amavasya,"Dec 30, 4:02 am","Dec 31, 3:56 am"

2025,January,Mauni Amavasya,"Jan 28, 7:36 pm","Jan 29, 6:05 pm"
2025,February,,"Feb 27, 8:55 am","Feb 28, 6:14 am"
2025,March,Shani Amavasya,"Mar 28, 7:55 pm","Mar 29, 4:27 pm"
2025,April,,"Apr 27, 4:50 am","Apr 28, 1:01 am"
2025,May,Bhaumvati Amavasya,"May 26, 12:12 pm","May 27, 8:32 am"
2025,June,,"Jun 24, 7:00 pm","Jun 25, 4:01 pm"
2025,July,Hariyali Amavasya,"Jul 24, 2:29 am","Jul 25, 12:41 am"
2025,August,Shani Amavasya,"Aug 22, 11:56 am","Aug 23, 11:36 am"
2025,September,Mahalaya Amavasya,"Sep 21, 12:17 am","Sep 22, 1:24 am"
2025,October,Bhaumvati Amavasya,"Oct 20, 3:45 pm","Oct 21, 5:55 pm"
2025,November,,"Nov 19, 9:44 am","Nov 20, 12:17 pm"
2025,December,,"Dec 19, 4:59 am","Dec 20, 7:13 am"

2026,January,Mauni Amavasya,"Jan 18, 12:04 am","Jan 19, 1:21 am"
2026,February,Bhaumvati Amavasya,"Feb 16, 5:34 pm","Feb 17, 5:31 pm"
2026,March,,"Mar 18, 8:25 am","Mar 19, 6:53 am"
2026,April,,"Apr 16, 8:11 pm","Apr 17, 5:21 pm"
2026,May,Shani Amavasya,"May 16, 5:11 am","May 17, 1:31 am"
2026,June,Somvati Amavasya,"Jun 14, 12:20 pm","Jun 15, 8:24 am"
