year,month,title,start,end

2024,January,Paush Purnima,"Jan 24, 9:50 pm","Jan 25, 11:24 pm"
2024,February,Magha Purnima,"Feb 23, 3:34 pm","Feb 24, 6:00 pm"
2024,March,Hutasani Purnima,"Mar 24, 9:55 am","Mar 25, 12:30 pm"
2024,April,,"Apr 23, 3:26 am","Apr 24, 5:18 am"
2024,May,"Buddha Purnima, Vaishakha Purnima","May 22, 6:48 pm","May 23, 7:23 pm"
2024,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 21, 7:32 am","Jun 22, 6:37 am"
2024,July,Guru Purnima,"Jul 20, 6:00 pm","Jul 21, 3:47 pm"
2024,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 19, 3:05 am","Aug 19, 11:55 pm"
2024,September,Bhadrapada Purnima,"Sep 17, 11:44 am","Sep 18, 8:04 am"
2024,October,Sharad Purnima,"Oct 16, 8:41 pm","Oct 17, 4:56 pm"
2024,November,Kartik Purnima,"Nov 15, 6:19 am","Nov 16, 2:58 am"
2024,December,Margashirsha Purnima,"Dec 14, 4:59 pm","Dec 15, 2:31 pm"

2025,January,Paush Purnima,"Jan 13, 5:03 am","Jan 14, 3:56 am"
2025,February,Magha Purnima,"Feb 11, 6:56 pm","Feb 12, 7:23 pm"
2025,March,Hutasani Purnima,"Mar 13, 10:36 am","Mar 14, 12:24 pm"
2025,April,,"Apr 12, 3:22 am","Apr 13, 5:52 am"
2025,May,"Buddha Purnima, Vaishakha Purnima","May 11, 8:02 pm","May 12, 10:25 pm"
2025,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 10, 11:36 am","Jun 11, 1:13 pm"
2025,July,Guru Purnima,"Jul 10, 1:37 am","Jul 11, 2:06 am"
2025,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 08, 2:12 pm","Aug 09, 1:25 pm"
2025,September,Bhadrapada Purnima,"Sep 07, 1:41 am","Sep 07, 11:38 pm"
2025,October,Sharad Purnima,"Oct 06, 12:24 pm","Oct 07, 9:17 am"
2025,November,Kartik Purnima,"Nov 04, 10:36 pm","Nov 05, 6:49 pm"
2025,December,Margashirsha Purnima,"Dec 04, 8:38 am","Dec 05, 4:44 am"

2026,January,Paush Purnima,"Jan 02, 6:54 pm","Jan 03, 3:32 pm"
2026,February,Magha Purnima,"Feb 01, 5:53 am","Feb 02, 3:39 am"
2026,March,Hutasani Purnima,"Mar 02, 5:56 pm","Mar 03, 5:07 pm"
2026,April,,"Apr 01, 7:06 am","Apr 02, 7:41 am"
2026,April,"Buddha Purnima, Vaishakha Purnima","Apr 30, 9:13 pm","May 01, 10:53 pm"
2026,May,,"May 30, 11:58 am","May 31, 2:15 pm"
2026,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 29, 3:06 am","Jun 30, 5:26 am"
2026,July,Guru Purnima,"Jul 28, 6:19 pm","Jul 29, 8:05 pm"
2026,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 27, 9:09 am","Aug 28, 9:48 am"
2026,September,Bhadrapada Purnima,"Sep 25, 11:07 pm","Sep 26, 10:19 pm"
2026,October,Sharad Purnima,"Oct 25, 11:56 am","Oct 26, 9:41 am"
2026,November,Kartik Purnima,"Nov 23, 11:42 pm","Nov 24, 8:23 pm"
2026,December,Margashirsha Purnima,"Dec 23, 10:47 am","Dec 24, 6:58 am"

2027,January,Paush Purnima,"Jan 21, 9:30 pm","Jan 22, 5:47 pm"
2027,February,Magha Purnima,"Feb 20, 8:00 am","Feb 21, 4:53 am"
2027,March,Hutasani Purnima,"Mar 21, 6:22 pm","Mar 22, 4:13 pm"
2027,April,,"Apr 20, 4:51 am","Apr 21, 3:57 am"
2027,May,"Buddha Purnima, Vaishakha Purnima","May 19, 4:03 pm","May 20, 4:29 pm"
2027,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 18, 4:35 am","Jun 19, 6:14 am"
2027,July,Guru Purnima,"Jul 17, 6:48 pm","Jul 18, 9:14 pm"
2027,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 16, 10:29 am","Aug 17, 12:58 pm"
2027,September,Bhadrapada Purnima,"Sep 15, 2:48 am","Sep 16, 4:33 am"
2027,October,Sharad Purnima,"Oct 14, 6:49 pm","Oct 15, 7:17 pm"
2027,November,Kartik Purnima,"Nov 13, 9:55 am","Nov 14, 8:55 am"
2027,December,Margashirsha Purnima,"Dec 12, 11:55 pm","Dec 13, 9:38 pm"

2028,January,Paush Purnima,"Jan 11, 12:46 pm","Jan 12, 9:33 am"
2028,February,Magha Purnima,"Feb 10, 12:17 am","Feb 10, 8:33 pm"
